sports,supernatural,comedy,ecchi,sci-fi,psychological,mahou shoujo,horror,drama,thriller,action,mystery,hentai,music,fantasy,adventure,mecha,slice of life,romance
2684,1043,259,1546,384,3859,3692,2293,273,102570,315,1935,2348,9734,463,434,1064,1485,362
2703,1048,260,1556,385,4066,3805,2315,277,102649,317,1943,2349,9826,464,435,1067,1524,363
2705,1052,261,1560,389,4085,3838,2342,283,103354,320,1966,2350,9906,465,439,1068,1530,365
2706,1097,262,1573,393,4460,3839,2343,284,103375,321,1972,2351,9948,466,442,1069,1532,372
2709,1107,263,1596,395,4672,3845,2344,285,104051,340,1973,2352,10036,477,445,1072,1554,374
2740,1108,264,1602,396,4715,3878,2345,289,104243,347,1981,2353,10257,482,448,1079,1569,376
2741,1123,265,1619,397,4756,3881,2346,291,104382,355,1984,2357,10278,495,449,1086,1589,380
2748,1148,268,1627,398,4789,3920,2354,292,104990,356,2016,2359,10321,496,450,1088,1592,381
2752,1150,275,1647,399,4896,4113,2355,294,105096,359,2017,2360,10361,497,451,1089,1593,382
2758,1158,276,1679,400,4918,4124,2356,302,105190,366,2018,2368,10436,501,452,1090,1617,386
2797,1159,277,1701,406,4975,4129,2359,304,106750,370,2025,2370,10519,502,455,1091,1642,390
2920,1170,278,1711,408,4981,4421,2404,308,107880,373,2030,2371,10549,503,457,1092,1654,393
2921,1171,280,1722,411,5040,4651,2592,311,108307,374,2043,2372,10824,505,459,1095,1679,394
2922,1179,281,1732,413,5081,4703,2593,313,108632,375,2055,2373,10918,511,460,1096,1689,396
2986,1192,288,1741,420,5622,4985,2596,314,109618,376,2057,2374,11093,512,461,1097,1695,397
3009,1227,289,1749,421,5630,5108,2683,315,109821,377,2076,2375,11569,513,462,1103,1698,398
3012,1228,291,1750,422,5819,5246,2775,320,109946,384,2077,2376,11751,515,463,1104,1718,399
3053,1243,293,1786,423,5924,5262,2870,322,110349,389,2133,2377,11867,521,464,1111,1721,401
3081,1244,294,1790,424,6276,5400,2944,323,110404,392,2161,2378,11889,523,465,1112,1728,403
3101,1280,296,1796,432,6328,5401,2978,325,110459,395,2164,2379,11911,525,466,1133,1729,416
3111,1281,297,1802,433,6408,5476,2981,328,110699,396,2171,2380,12149,527,473,1136,1764,431
3116,1316,298,1803,443,6535,5653,2983,329,113917,397,2204,2394,12237,528,479,1149,1804,433
3131,1340,301,1807,455,6573,5684,2988,330,114123,398,2236,2395,12531,530,481,1152,1813,440
3137,1371,303,1817,458,6610,5753,3077,333,114446,399,2237,2410,12711,531,484,1161,1839,441
3213,1440,305,1836,467,6774,5953,3091,334,115437,400,2246,2411,12755,532,486,1162,1852,443
3226,1442,306,1840,468,6864,6008,3129,336,117002,404,2251,2412,12863,534,492,1163,1858,444
3270,1451,307,1862,474,6954,6129,3130,338,117343,406,2267,2413,13333,535,493,1165,1861,445
3272,1454,309,1874,475,6985,6311,3166,339,119548,408,2281,2430,13513,536,495,1166,1878,448
3273,1455,310,1898,477,7193,6496,3176,341,119661,411,2369,2431,13629,543,496,1178,1887,449
3274,1484,316,1903,478,7257,6527,3178,342,119978,413,2449,2432,13755,550,497,1179,1888,450
3275,1498,318,1940,483,7258,6883,3254,344,120300,416,2512,2433,13799,552,498,1194,1893,452
3276,1500,319,1944,492,7259,7082,3258,345,121062,417,2513,2434,14537,553,499,1211,1926,455
3277,1520,321,1953,493,7420,7152,3342,346,123148,419,2514,2435,14835,572,501,1212,1949,469
3278,1524,322,1956,498,7511,7645,3427,349,124845,420,2515,2436,14941,574,502,1215,1953,470
3279,1530,324,1992,513,7651,7807,3428,350,124858,424,2538,2437,15051,576,503,1230,1965,471
3280,1531,327,1995,516,7785,8133,3446,351,125331,425,2562,2438,15061,577,504,1236,1982,472
3281,1535,330,2079,522,7809,8206,3475,352,125369,426,2582,2439,15129,588,508,1241,2004,474
3369,1536,331,2098,526,7810,8217,3525,353,126403,432,2593,2440,15177,592,511,1244,2009,476
3433,1554,332,2131,528,7811,8431,3569,355,126830,434,2596,2441,15279,595,512,1248,2034,478
3438,1556,333,2132,529,7843,8443,3595,358,126832,435,2597,2442,15649,597,513,1249,2035,487
3482,1557,334,2147,537,7844,8503,3599,359,126833,438,2618,2443,15781,602,515,1261,2055,493
